Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
2.560514240000000,44,4,'3',Write,ACK
2.560735240000000,45,5,'128',Read,ACK
2.560833800000000,45,5,E,Read,NAK
2.561156480000000,46,4,'2',Write,ACK
2.561457480000000,47,5,'0',Read,ACK
2.561556040000000,47,5,'0',Read,NAK
2.561817120000000,48,4,'3',Write,ACK
2.562038120000000,49,5,'128',Read,ACK
2.562136680000000,49,5,E,Read,NAK
2.562532120000000,50,4,'2',Write,ACK
2.562753120000000,51,5,'0',Read,ACK
2.562851680000000,51,5,'0',Read,NAK
2.563112760000000,52,4,'3',Write,ACK
2.563333760000000,53,5,'128',Read,ACK
2.563432320000000,53,5,E,Read,NAK
2.563755240000000,54,4,'2',Write,ACK
2.563976200000000,55,5,'0',Read,ACK
2.564074760000000,55,5,'0',Read,NAK
2.564347200000000,56,4,'3',Write,ACK
2.564568200000000,57,5,'128',Read,ACK
2.564666760000000,57,5,E,Read,NAK
2.564989400000000,58,4,'2',Write,ACK
2.565210400000000,59,5,'0',Read,ACK
2.565308960000000,59,5,'0',Read,NAK
2.565570000000000,60,4,'3',Write,ACK
2.565791000000000,61,5,'128',Read,ACK
2.565889560000000,61,5,E,Read,NAK
2.566212200000000,62,4,'2',Write,ACK
2.566435160000000,63,5,'0',Read,ACK
2.566533720000000,63,5,'0',Read,NAK
2.566795520000000,64,4,'3',Write,ACK
2.567016520000000,65,5,'128',Read,ACK
2.567115080000000,65,5,E,Read,NAK
2.567533680000000,66,4,'2',Write,ACK
2.567754680000000,67,5,'0',Read,ACK
2.567853200000000,67,5,'0',Read,NAK
2.568114280000000,68,4,'3',Write,ACK
2.568419800000000,69,5,'128',Read,ACK
2.568518320000000,69,5,E,Read,NAK
2.568841000000000,70,4,'2',Write,ACK
2.569062000000000,71,5,'0',Read,ACK
2.569160560000000,71,5,'0',Read,NAK
2.569472520000000,72,4,'3',Write,ACK
2.569693520000000,73,5,'128',Read,ACK
2.569792080000000,73,5,E,Read,NAK
2.570114720000000,74,4,'2',Write,ACK
2.570419840000000,75,5,'0',Read,ACK
2.570518400000000,75,5,'0',Read,NAK
2.570779440000000,76,4,'3',Write,ACK
2.571000440000000,77,5,'128',Read,ACK
2.571099000000000,77,5,E,Read,NAK
2.571494360000000,78,4,'2',Write,ACK
2.571715360000000,79,5,'0',Read,ACK
2.571813920000000,79,5,'0',Read,NAK
2.572075000000000,80,4,'3',Write,ACK
2.572295960000000,81,5,'128',Read,ACK
2.572394520000000,81,5,E,Read,NAK
2.572717200000000,82,4,'2',Write,ACK
2.572938160000000,83,5,'0',Read,ACK
2.573036720000000,83,5,'0',Read,NAK
2.573297320000000,84,4,'3',Write,ACK
2.573518320000000,85,5,'128',Read,ACK
2.573616880000000,85,5,E,Read,NAK
2.573939600000000,86,4,'2',Write,ACK
2.574160600000000,87,5,'0',Read,ACK
2.574259160000000,87,5,'0',Read,NAK
2.574520000000000,88,4,'3',Write,ACK
2.574741000000000,89,5,'128',Read,ACK
2.574839560000000,89,5,E,Read,NAK
2.575162240000000,90,4,'2',Write,ACK
2.575394200000000,91,5,'0',Read,ACK
2.575492760000000,91,5,'0',Read,NAK
2.575753840000000,92,4,'3',Write,ACK
2.575974840000000,93,5,'128',Read,ACK
2.576073400000000,93,5,E,Read,NAK
2.576579360000000,94,4,'2',Write,ACK
2.576800360000000,95,5,'0',Read,ACK
2.576898920000000,95,5,'0',Read,NAK
2.577160000000000,96,4,'3',Write,ACK
2.577387240000000,97,5,'128',Read,ACK
2.577485800000000,97,5,E,Read,NAK
2.577808520000000,98,4,'2',Write,ACK
2.578029560000000,99,5,'0',Read,ACK
2.578128120000000,99,5,'0',Read,NAK
2.578435720000000,100,4,'3',Write,ACK
2.578656720000000,101,5,'128',Read,ACK
2.578755280000000,101,5,E,Read,NAK
2.579077960000000,102,4,'2',Write,ACK
2.579378600000000,103,5,'0',Read,ACK
2.579477160000000,103,5,'0',Read,NAK
2.579738240000000,104,4,'3',Write,ACK
2.579959240000000,105,5,'128',Read,ACK
2.580057800000000,105,5,E,Read,NAK
2.580453120000000,106,4,'2',Write,ACK
2.580674160000000,107,5,'0',Read,ACK
2.580772680000000,107,5,'0',Read,NAK
2.581033760000000,108,4,'3',Write,ACK
2.581254760000000,109,5,'128',Read,ACK
2.581353320000000,109,5,E,Read,NAK
2.581676280000000,110,4,'2',Write,ACK
2.581897280000000,111,5,'0',Read,ACK
2.581995800000000,111,5,'0',Read,NAK
2.582267840000000,112,4,'3',Write,ACK
2.582488840000000,113,5,'128',Read,ACK
2.582587400000000,113,5,E,Read,NAK
2.582910040000000,114,4,'2',Write,ACK
2.583131040000000,115,5,'0',Read,ACK
2.583229600000000,115,5,'16',Read,NAK
2.583490280000000,116,4,'3',Write,ACK
2.583711280000000,117,5,'128',Read,ACK
2.583809840000000,117,5,E,Read,NAK
2.584243120000000,118,4,+,Write,ACK
2.584464000000000,119,5,'4',Read,ACK
2.584574400000000,119,5,'4',Read,ACK
2.584672960000000,119,5,'17',Read,ACK
2.584771520000000,119,5,'4',Read,ACK
2.584870040000000,119,5,' ',Read,NAK
2.585255840000000,120,4,(,Write,ACK
2.585476680000000,121,5,'4',Read,ACK
2.585587080000000,121,5,'4',Read,ACK
2.585685640000000,121,5,'177',Read,ACK
2.585784200000000,121,5,'4',Read,ACK
2.585882760000000,121,5,'0',Read,NAK
2.586554600000000,122,4,'3',Write,ACK
2.586775640000000,123,5,'128',Read,ACK
2.586874200000000,123,5,E,Read,NAK
2.587229720000000,124,4,'5',Write,ACK
2.587328240000000,124,4,'24',Write,ACK
2.587426840000000,124,4,'24',Write,ACK
2.592899680000000,125,4,'2',Write,ACK
2.593120720000000,126,5,'0',Read,ACK
2.593219280000000,126,5,'4',Read,NAK
2.593480640000000,127,4,'3',Write,ACK
2.593701640000000,128,5,'128',Read,ACK
2.593800200000000,128,5,F,Read,NAK
2.594196440000000,129,4,'2',Write,ACK
2.594417480000000,130,5,'4',Read,ACK
2.594516040000000,130,5,'0',Read,NAK
2.594777120000000,131,4,'3',Write,ACK
2.594998120000000,132,5,'128',Read,ACK
2.595096680000000,132,5,F,Read,NAK
2.595477000000000,133,4,`,Write,ACK
2.595575560000000,133,4,'4',Write,ACK
2.595674120000000,133,4,'1',Write,ACK
2.595772680000000,133,4,'128',Write,ACK
2.595871280000000,133,4,'0',Write,ACK
2.595969840000000,133,4,'255',Write,ACK
2.596351280000000,134,4,'5',Write,ACK
2.596449840000000,134,4,'17',Write,ACK
2.596548400000000,134,4,'17',Write,ACK
2.599757520000000,135,4,'2',Write,ACK
2.599978560000000,136,5,'4',Read,ACK
2.600077120000000,136,5,'0',Read,NAK
2.600338840000000,137,4,'3',Write,ACK
2.600559840000000,138,5,'128',Read,ACK
2.600658400000000,138,5,F,Read,NAK
2.600919480000000,139,4,'4',Write,ACK
2.601140480000000,140,5,'0',Read,ACK
2.601239040000000,140,5,'0',Read,NAK
2.601563480000000,141,4,'2',Write,ACK
2.601784480000000,142,5,'0',Read,ACK
2.601883040000000,142,5,'0',Read,NAK
2.602155680000000,143,4,'3',Write,ACK
2.602376680000000,144,5,'128',Read,ACK
2.602475240000000,144,5,F,Read,NAK
2.602736320000000,145,4,'4',Write,ACK
2.602957320000000,146,5,'0',Read,ACK
2.603055880000000,146,5,'0',Read,NAK
2.603384440000000,147,4,'2',Write,ACK
2.603605480000000,148,5,'0',Read,ACK
2.603704040000000,148,5,'8',Read,NAK
2.603965160000000,149,4,'3',Write,ACK
2.604265960000000,150,5,'128',Read,ACK
2.604364520000000,150,5,F,Read,NAK
2.604625640000000,151,4,'4',Write,ACK
2.604846640000000,152,5,'1',Read,ACK
2.604945200000000,152,5,'0',Read,NAK
2.605339600000000,153,4,'5',Write,ACK
2.605438160000000,153,4,'22',Write,ACK
2.605536720000000,153,4,'22',Write,ACK
2.606292560000000,154,4,'2',Write,ACK
2.606513600000000,155,5,'4',Read,ACK
2.606612160000000,155,5,'0',Read,NAK
2.606873240000000,156,4,'3',Write,ACK
2.607094240000000,157,5,'128',Read,ACK
2.607192800000000,157,5,F,Read,NAK
2.607539880000000,158,4,P,Write,ACK
2.607760800000000,159,5,'16',Read,ACK
2.607871160000000,159,5,A,Read,ACK
2.607969720000000,159,5,'128',Read,ACK
2.608068320000000,159,5,'0',Read,ACK
2.608166880000000,159,5,'255',Read,ACK
2.608265440000000,159,5,~,Read,ACK
2.608364000000000,159,5,'5',Read,ACK
2.608462560000000,159,5,'0',Read,ACK
2.608561120000000,159,5,'0',Read,ACK
2.608659680000000,159,5,'0',Read,ACK
2.608758200000000,159,5,'0',Read,ACK
2.608856760000000,159,5,'0',Read,ACK
2.608955360000000,159,5,'0',Read,ACK
2.609053920000000,159,5,'0',Read,ACK
2.609152480000000,159,5,'0',Read,ACK
2.609251040000000,159,5,'4',Read,ACK
2.609349600000000,159,5,' ',Read,NAK
2.609859560000000,160,0,'2',Write,ACK
2.610080560000000,161,1,'4',Read,ACK
2.610179120000000,161,1,'0',Read,NAK
2.610526360000000,162,0,<,Write,ACK
2.610747280000000,163,1,'8',Read,ACK
2.610857640000000,163,1,2,Read,ACK
2.610956240000000,163,1,'144',Read,ACK
2.611054800000000,163,1,'1',Read,ACK
2.611153360000000,163,1,*,Read,ACK
2.611251920000000,163,1,'4',Read,ACK
2.611350480000000,163,1,'177',Read,ACK
2.611449040000000,163,1,'4',Read,ACK
2.611547600000000,163,1,'0',Read,NAK
2.611976360000000,164,0,<,Write,ACK
2.612074920000000,164,0,'8',Write,ACK
2.612173480000000,164,0,2,Write,ACK
2.612272040000000,164,0,'144',Write,ACK
2.612370600000000,164,0,'1',Write,ACK
2.612469200000000,164,0,*,Write,ACK
2.612567760000000,164,0,'4',Write,ACK
2.612666320000000,164,0,'177',Write,ACK
2.612764880000000,164,0,'4',Write,ACK
2.612863440000000,164,0,'0',Write,ACK
2.613297040000000,165,0,'5',Write,ACK
2.613395600000000,165,0,\t,Write,ACK
2.613494200000000,165,0,\t,Write,ACK
2.617296960000000,166,0,'2',Write,ACK
2.617518000000000,167,1,'4',Read,ACK
2.617616560000000,167,1,'0',Read,NAK
2.617877680000000,168,0,'3',Write,ACK
2.618098680000000,169,1,'0',Read,ACK
2.618197240000000,169,1,'0',Read,NAK
2.618509520000000,170,0,'23',Write,ACK
2.618730560000000,171,1,'153',Read,ACK
2.618829120000000,171,1,'0',Read,NAK
2.619098200000000,172,0,'23',Write,ACK
2.619196760000000,172,0,'157',Write,ACK
2.619295320000000,172,0,'0',Write,ACK
2.619606360000000,173,0,'5',Write,ACK
2.619704920000000,173,0,'12',Write,ACK
2.619803480000000,173,0,'12',Write,ACK
2.620347600000000,174,0,'2',Write,ACK
2.620568640000000,175,1,'4',Read,ACK
2.620667200000000,175,1,'0',Read,NAK
2.620928320000000,176,0,'3',Write,ACK
2.621192520000000,177,1,'0',Read,ACK
2.621291120000000,177,1,'0',Read,NAK
2.621604040000000,178,0,'6',Write,ACK
2.621825080000000,179,1,@,Read,ACK
2.621923640000000,179,1,'204',Read,NAK
2.622248240000000,180,0,'6',Write,ACK
2.622346800000000,180,0,@,Write,ACK
2.622445360000000,180,0,'12',Write,ACK
2.822655600000000,181,0,'4',Write,ACK
2.823040280000000,182,1,'0',Read,ACK
2.823138840000000,182,1,'0',Read,NAK
